Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
DWCC,2025,5,120,76130.00,0.00,0.00,7065.00,10000.00,12060.15,,,,,,,
DWCC,2025,4,747,1129129.00,0.00,0.00,1084517.00,,1084712.00,,,,,,,
DWCC,2025,5,799,0.00,0.00,161017.33,358794.30,900000.00,1569135.04,,,,,,,
DWCC,2025,5,51,7228.00,0.00,0.00,1251.00,,3753.00,,,,,,,
DWCC,2025,5,802,0.00,0.00,0.00,6682.99,,0.00,,,,,,,
DWCC,2025,5,728,80000.00,0.00,19642.00,434.00,,57161.41,,,,,,,
DWCC,2025,5,671,67339.00,0.00,83030.00,117857.00,,343332.67,,,,,,,
DWCC,2025,4,120,61468.00,0.00,0.00,0.00,,9380.48,,,,,,,
DWCC,2025,5,670,151538.00,0.00,0.00,0.00,,5312.80,,,,,,,
DWCC,2025,5,800,0.00,0.00,0.00,0.00,12000.00,17776.08,,,,,,,
DWCC,2025,4,742,21996.00,0.00,0.00,0.00,21996.00,0.00,,,,,,,
DWCC,2025,4,115,0.00,0.00,0.00,0.00,,255.84,,,,,,,
DWCC,2025,5,246,0.00,0.00,0.00,0.00,,0.00,,,,,,,
DWCC,2025,4,3,0.00,0.00,0.00,22128.00,41797.00,11109.00,,,,,,,
DWCC,2025,5,256,225000.00,0.00,0.00,160764.48,225000.00,356456.78,,,,,,,
DWCC,2025,4,282,0.00,0.00,0.00,2046.70,5000.00,5551.39,,,,,,,
DWCC,2025,4,260,0.00,0.00,0.00,9424.92,8000.00,7594.26,,,,,,,
DWCC,2025,5,283,0.00,0.00,0.00,0.00,,216801.70,,,,,,,
DWCC,2025,54,48,26576.00,0.00,0.00,8665.07,,18837.76,,,,,,,
DWCC,2025,4,77,0.00,0.00,0.00,18717.78,25000.00,22097.91,,,,,,,
DWCC,2025,5,255,0.00,0.00,0.00,3197.09,10000.00,45765.04,,,,,,,
DWCC,2025,54,764,25000.00,0.00,9128.56,9017.80,9000.00,81969.94,,,,,,,
DWCC,2025,5,75,0.00,0.00,0.00,1250.00,,2240.00,,,,,,,
DWCC,2025,5,730,0.00,0.00,0.00,29.44,1500.00,1351.70,,,,,,,
DWCC,2025,5,63,0.00,0.00,0.00,178.50,,980.50,,,,,,,
DWCC,2025,54,1,195595.00,0.00,0.00,64723.86,145283.00,146303.12,,,,,,,
